(150, 151)
(150, 252)
(150, 353)
(149, 453)
(149, 554)
(149, 655)
(149, 756)
(149, 857)
(150, 957)
(199, 1045)
(283, 1100)
(384, 1100)
(485, 1100)
(572, 1050)
(649, 986)
(649, 885)
(650, 785)
(599, 698)
(600, 598)
(650, 511)
(650, 410)
(635, 311)
(564, 240)
(500, 163)
(449, 149)
(536, 199)
(600, 276)
(650, 363)
(650, 464)
(649, 564)
(599, 651)
(619, 749)
(650, 845)
(650, 946)
(630, 1044)
(549, 1099)
(600, 1012)
(649, 924)
(649, 823)
(649, 722)
(599, 635)
(650, 548)
(650, 447)
(650, 349)
(650, 450)
(649, 550)
(599, 637)
(600, 737)
(649, 825)
(649, 926)
(600, 1014)
(506, 1050)
(419, 1100)
(318, 1100)
(231, 1050)
(150, 991)
(149, 891)
(149, 790)
(149, 689)
(149, 588)
(149, 487)
(149, 399)
(125, 375)
