(150, 151)
(150, 252)
(150, 353)
(149, 453)
(149, 554)
(149, 655)
(149, 756)
(149, 857)
(150, 957)
(199, 1045)
(283, 1100)
(384, 1100)
(485, 1100)
(572, 1050)
(600, 953)
(600, 852)
(600, 751)
(687, 700)
(700, 600)
(699, 599)
(699, 598)
(649, 511)
(649, 410)
(635, 310)
(634, 309)
(634, 308)
(633, 308)
(633, 307)
(632, 307)
(632, 306)
(631, 306)
(630, 305)
(629, 305)
(629, 304)
(628, 303)
(628, 302)
(627, 302)
(627, 301)
(626, 301)
(626, 300)
(625, 300)
(625, 299)
(624, 299)
(623, 298)
(622, 298)
(622, 297)
(621, 297)
(621, 296)
(620, 295)
(620, 294)
(619, 294)
(618, 293)
(618, 292)
(617, 292)
(616, 291)
(616, 290)
(615, 290)
(614, 289)
(614, 288)
(613, 288)
(613, 287)
(612, 287)
(611, 286)
(610, 286)
(610, 285)
(609, 285)
(609, 284)
(608, 283)
(608, 282)
(607, 282)
(607, 281)
(606, 281)
(606, 280)
(605, 280)
(604, 279)
(603, 279)
(603, 278)
(602, 278)
(602, 277)
(601, 276)
(601, 275)
(600, 275)
(600, 274)
(533, 199)
(532, 199)
(449, 143)
(449, 142)
(425, 125)
